image_id,true_correlation,predicted_correlation,absolute_error,squared_error
cohtzuog,0.3539918357532232,0.34318957,0.010802268425723793,0.0001166890031413892
cwtadyfn,0.8361240430795917,0.83682066,0.0006966189420453128,4.852779504163309e-07
daujzamk,-0.3141174622116543,-0.27971756,0.03439989762882961,0.0011833529568739572
pnmvrfuu,-0.1900358701292235,-0.20053403,0.010498160665873862,0.00011021137736650114
nltzsvfb,-0.268688092295038,-0.26407906,0.0046090281642549025,2.1243140618894915e-05
tcmqzfzr,-0.6027792628799483,-0.60726005,0.004480785509486496,2.0077438782024154e-05
efdovfqj,0.5621201149230143,0.55679893,0.005321179986490843,2.8314956448630684e-05
ewkthobo,0.4382184999512993,0.43318933,0.005029167466100326,2.5292525402081973e-05
pffbdwgz,-0.5908170855843021,-0.5890047,0.0018123901688053001,3.2847581239821043e-06
errnupvj,-0.1433006236485721,-0.13404272,0.009257898681569232,8.570868799820132e-05
ewtkmkeb,0.2937655308817415,0.26487792,0.028887615499356256,0.0008344943292386478
jjdpgcvb,0.4766544995751997,0.47797891,0.0013244154009203202,1.7540761541949325e-06
heuzycsr,0.0534863952987324,0.072128214,0.018641818643318535,0.00034751740233037847
dhtftutw,0.4559258561185587,0.45569584,0.00023001838242892036,5.290845625521706e-08
sbbqzmlv,0.1135468446407861,0.10333306,0.010213781217152523,0.00010432132675185767
hnumpdha,-0.0970112447123906,-0.11398399,0.016972744049511254,0.0002880740405702197
mrvdsjff,-0.3823436578051541,-0.35136595,0.030977704121300964,0.0009596181526268667
gljpfbtw,0.7674688439133132,0.7639113,0.003557537055250415,1.2656069899479793e-05
rrwkftsz,0.0019237860267753,0.005324129,0.0034003429884319905,1.15623324389786e-05
qfpjsech,-0.5633235896783063,-0.55188507,0.011438521261710854,0.00013083976865461129
qqlgzezy,0.8509657791190814,0.8441736,0.0067921689086627435,4.613355848380484e-05
dgjodyrc,-0.4614369532242975,-0.47989613,0.018459174953345314,0.00034074113995821096
jrzqkjst,0.5823829342351025,0.59546226,0.01307932839536019,0.00017106883127367538
pxsnhukl,0.3653649127216821,0.36603376,0.0006688499717230623,4.473602846739412e-07
fnduszqk,0.0583126716752891,0.06327769,0.00496501992741781,2.465142287965596e-05
jlyhwgia,-0.8761697846022826,-0.8845444,0.008374587956311186,7.013372343799236e-05
jlnjsqms,0.0651480977219086,0.082620434,0.017472336741115535,0.0003052825511949358
nknxvtvi,-0.2953510442855481,-0.29500926,0.00034178887630736954,1.1681963596745436e-07
sfhjzgnn,0.2175884269975413,0.21896273,0.0013743019796620681,1.8887059313030794e-06
ifbqvcnb,-0.3960754053074063,-0.416473,0.020397595934277646,0.00041606191989806
boznpbxe,0.2202708318475039,0.21619871,0.004072119260147333,1.6582155268862866e-05
qlkmquxv,-0.3846459529178315,-0.3123592,0.07228673908879096,0.005225372648090939
hnsudwbz,0.3940794535071433,0.39542028,0.001340829572004043,1.7978239411605452e-06
fgtrlxpd,-0.3572910348958485,-0.3680886,0.010797568123865842,0.0001165874773895237
mkgbozcx,0.0086496841855472,0.02224724,0.01359755576177183,0.00018489352269449432
orzltcxe,-0.2137488590027746,-0.2098519,0.0038969532992299827,1.5186245016379447e-05
ajeypdqk,0.3927501736585451,0.37575746,0.016992717832739423,0.0002887524593431004
fowgfvfz,-0.0355472217516919,-0.050875735,0.01532851278614799,0.0002349633042351024
egughpox,0.1711159539372518,0.1676844,0.0034315478951527922,1.1775520956727558e-05
fsfggchx,0.8650435935557592,0.872747,0.007703410476375794,5.934253296753634e-05
azdgwkfj,-0.3111703542256759,-0.29739487,0.013775482513944948,0.00018976391849200301
gtlvsefw,-0.6405885375449832,-0.6239357,0.016652838082092614,0.000277317016188394
cygriojq,0.0621140487173731,0.06300866,0.0008946098705594832,8.003268205024553e-07
ipwfwlom,0.0203392111464587,0.015939046,0.004400165449008061,1.936145597864431e-05
mohqhgex,-0.3156390008159824,-0.3143061,0.0013328906723208966,1.776597544360052e-06
gsilspzv,0.2604655532072022,0.28155217,0.021086612539486627,0.0004446452283904346
rydckvxm,-0.3741347280808429,-0.34070584,0.03342888630113405,0.001117490439334148
kxegykym,-0.378355396773802,-0.38694873,0.008593337748063867,7.384545365229938e-05
gfypoyin,-0.5384646051041087,-0.52417177,0.014292835485120614,0.000204285146204723
ngkmtixi,0.3549786573589542,0.34181362,0.01316503345377229,0.00017331810583894356
ajlkzprt,-0.0699333868776294,-0.07141963,0.0014862395967510933,2.2089081389508523e-06
cdjtlcbh,-0.2348626590013453,-0.21508531,0.019777346277231822,0.0003911434257695354
bdlapcxp,-0.3656537394558768,-0.3578381,0.007815645221410261,6.108431022695305e-05
lwtwaflr,-0.4023161891369506,-0.38901925,0.013296938267199632,0.00017680856728171794
thubjfzh,-0.4357398997383705,-0.42473674,0.011003161533414463,0.00012106956373041172
mhfmbixv,0.2290066857704442,0.2214395,0.007567190087727826,5.726236582380627e-05
dtgemikg,0.0990064784927452,0.09740831,0.0015981689138496319,2.5541438771953123e-06
nzlncmao,-0.1378335965843766,-0.114785835,0.023047761437472614,0.0005311993072786497
guaitmnw,0.2507148296955115,0.24888407,0.0018307627561575668,3.3516922693336503e-06
